
Rank	County	Population
1	Los Angeles County	9,829,544
2	San Diego County	3,286,069
3	Orange County	3,167,809
4	Riverside County	2,458,395
5	San Bernardino County	2,194,710
6	Santa Clara County	1,885,508
7	Alameda County	1,648,556
8	Sacramento County	1,588,921
9	Contra Costa County	1,161,413
10	Fresno County	1,013,581
11	Kern County	917,673
12	Ventura County	839,784
13	San Francisco County	815,201
14	San Joaquin County	789,410
15	San Mateo County	737,888
16	Stanislaus County	552,999
17	Sonoma County	485,887
18	Tulare County	477,054
19	Solano County	451,716
20	Santa Barbara County	446,475
21	Monterey County	437,325
22	Placer County	412,300
23	Merced County	286,461
24	San Luis Obispo County	283,159
25	Santa Cruz County	267,792
26	Marin County	260,206
27	Yolo County	216,986
28	Butte County	208,309
29	El Dorado County	193,221
30	Shasta County	182,139
31	Imperial County	179,851
32	Madera County	159,410
33	Kings County	153,443
34	Humboldt County	136,310
35	Napa County	136,207
36	Nevada County	103,487
37	Sutter County	99,063
38	Mendocino County	91,305
39	Yuba County	83,421
40	Lake County	68,766
41	San Benito County	66,677
42	Tehama County	65,498
43	Tuolumne County	55,810
44	Calaveras County	46,221
45	Siskiyou County	44,118
46	Amador County	41,259
47	Lassen County	33,159
48	Glenn County	28,805
49	Del Norte County	28,100
50	Colusa County	21,917
51	Plumas County	19,915
52	Inyo County	18,970
53	Mariposa County	17,147
54	Trinity County	16,060
55	Mono County	13,247
56	Modoc County	8,661
57	Sierra County	3,283
58	Alpine County	1,235
